platform,app_id,source_file,source_api,source_loc,sink_file,sink_api,sink_loc,startpoint_type,flow_type
alipay,2021003165688220,index.worker.js,a.default.getStorageSync,17:663486,index.worker.js,a.default.setStorage,17:663579,api.asyn,local_storage
alipay,2021003165688220,index.worker.js,a.default.getStorageSync,17:663486,index.worker.js,a.default.setStorageSync,17:663540,api.asyn,local_storage
alipay,2021003171636112,index.worker.js,getStorage,17:1034235,index.worker.js,setStorage,17:1034524,api.asyn,local_storage
alipay,2021003171636112,index.worker.js,my.getStorageSync,15:14268,index.worker.js,my.setStorage,15:14604,api.asyn,local_storage
alipay,2021003171636112,index.worker.js,getStorageSync,17:2797627,index.worker.js,setStorageSync,17:2797663,api.asyn,local_storage
alipay,2021003171636112,index.worker.js,d.getUserInfo,15:74916,index.worker.js,d.ajax,15:91209,api.asyn,network_request
alipay,2021003171636112,index.worker.js,d.getUserInfo,15:74916,index.worker.js,e.upLoadData,15:75540,api.asyn,network_request
alipay,2021003176627530,index.worker.js,e.getStorageSync,17:10311,index.worker.js,r.ast.post,17:10210,api.asyn,network_request
alipay,2021003176627530,index.worker.js,e.getStorageSync,17:786350,index.worker.js,e.setStorageSync,17:786425,api.asyn,local_storage
alipay,2021003176627530,index.worker.js,n.login,17:10045,index.worker.js,r.ast.post,17:10125,api.asyn,network_request
alipay,2021003176627530,splitchunk~0/index.worker.js,_.getStorageSync,1:15631,splitchunk~0/index.worker.js,this.ast.post,1:15584,api.asyn,network_request
alipay,2021003176627530,splitchunk~2/index.worker.js,_.getStorageSync,1:20922,splitchunk~2/index.worker.js,this.ast.post,1:20886,api.asyn,network_request
alipay,2021003183632013,index.worker.js,o.getStorageSync,17:79004,index.worker.js,e.request,17:79502,api.asyn,network_request
alipay,2021003183632013,index.worker.js,u.getStorageSync,15:158420,index.worker.js,u.setStorageSync,15:158472,api.asyn,local_storage
alipay,2021003183632013,index.worker.js,c.getStorageSync,15:37556,index.worker.js,my.tradePay,15:37699,api.asyn,payment
alipay,2021003185657062,index.worker.js,t.getStorage,15:1028166,index.worker.js,t.setStorage,15:1028239,api.asyn,local_storage
alipay,2021003185657062,index.worker.js,k.getStorageSync,17:369865,index.worker.js,this.saveCartData2Local,17:377995,api.asyn,local_storage
alipay,2021004101639361,index.worker.js,h.getImageInfo,17:622911,index.worker.js,h.saveImageToPhotosAlbum,17:622995,api.asyn,album_write
alipay,2021004101639361,index.worker.js,p.getStorageSync,17:4149,index.worker.js,p.setStorageSync,17:5198,api.asyn,local_storage
alipay,2021004122691264,index.worker.js,m.a.login,15:120428,index.worker.js,m.a.requestPayment,15:121283,api.asyn,payment
alipay,2021004122691264,index.worker.js,m.a.login,15:120428,index.worker.js,my.tradePay,15:120946,api.asyn,payment
alipay,2021004123642849,index.worker.js,my.getImageInfo,15:27860,index.worker.js,my.uploadFile,15:27903,api.asyn,file_upload
alipay,2021004123642849,index.worker.js,my.promise.getPhoneNumber,15:232660,index.worker.js,f.GetAlipayUserInfoByLogin,15:232851,api.asyn,network_request
alipay,2021004158620732,index.worker.js,U.getStorageSync,17:447583,index.worker.js,U.setStorageSync,17:447675,api.asyn,local_storage
alipay,2021005113650664,index.worker.js,n.getStorageSync,17:461628,index.worker.js,n.uploadFile,17:461539,api.asyn,file_upload
alipay,2021005115683045,index.worker.js,my.getAuthCode,17:94747,index.worker.js,N,17:95234,api.asyn,local_storage
alipay,2021005115683045,index.worker.js,b.index.getStorageSync,17:113152,index.worker.js,b.index.uploadFile,17:112985,api.asyn,file_upload
alipay,2021005183650823,index.worker.js,my.choosePhoneContact,17:1046079,index.worker.js,e.getPhone,17:1046122,api.asyn,local_storage
alipay,2021005183650823,index.worker.js,my.getAuthCode,17:434207,index.worker.js,g,17:434374,api.asyn,local_storage
alipay,2021005183650823,index.worker.js,my.getLocation,17:436347,index.worker.js,f,17:436425,api.asyn,network_request
alipay,2021005183650823,index.worker.js,e.getStorageSync,17:436396,index.worker.js,f,17:436425,api.asyn,network_request
alipay,2021005183650823,index.worker.js,e.getStorageSync,17:1041354,index.worker.js,this.getPhone,17:1041381,api.asyn,local_storage
alipay,2021005183650823,index.worker.js,e.getStorageSync,17:441423,index.worker.js,e.request,17:441783,api.asyn,network_request
douyin,tt033c75819c00f0cd01,common/main.js,t.getStorageSync,362:33,common/main.js,u.http.post,361:23,api.asyn,network_request
douyin,tt033c75819c00f0cd01,pages/1e7407b/pages/my/myCoupon/myCouponDetail.js,o.getStorageSync,988:45,pages/1e7407b/pages/my/myCoupon/myCouponDetail.js,t.$api.post,982:33,api.asyn,network_request
